t (s),V (mV)
0,15.3524
0.976,15.3448
1.951,15.3323
2.928,15.3193
3.925,15.3072
4.924,15.2954
5.925,15.2842
6.924,15.2731
7.925,15.2631
8.924,15.252
9.925,15.2414
10.924,15.2312
11.925,15.2181
12.924,15.2099
13.924,15.201
14.924,15.1914
15.925,15.1805
16.924,15.1719
17.924,15.1632
18.924,15.1527
19.925,15.1448
20.924,15.1331
21.925,15.1266
22.924,15.1164
23.924,15.1078
24.924,15.0996
25.925,15.0903
26.924,15.083
27.925,15.0736
28.924,15.0648
29.925,15.057
30.924,15.048
31.925,15.0406
32.924,15.0327
33.925,15.0244
34.924,15.0162
35.925,15.0082
36.924,15.0007
37.925,14.9915
38.924,14.9853
39.925,14.9766
40.925,14.969
41.924,14.9618
42.924,14.9518
43.925,14.9453
44.925,14.9366
45.924,14.9279
46.925,14.9208
47.925,14.9137
48.924,14.9064
49.925,14.8985
50.924,14.8918
51.924,14.8846
52.925,14.8762
53.924,14.8691
54.925,14.862
55.925,14.8547
56.924,14.8482
57.925,14.8402
58.924,14.8329
59.925,14.8257
60.925,14.8183
61.924,14.811
62.925,14.8037
63.924,14.7971
64.925,14.7891
65.925,14.7817
66.924,14.7739
67.925,14.7666
68.924,14.7594
69.925,14.7516
70.924,14.7445
71.924,14.7375
72.924,14.7299
73.925,14.7228
74.924,14.7155
75.925,14.7083
76.925,14.7008
77.924,14.6931
78.924,14.6856
79.925,14.6788
80.925,14.6703
81.925,14.664
82.924,14.655
83.925,14.6494
84.924,14.6429
85.925,14.6354
86.925,14.6274
87.924,14.6193
88.925,14.6129
89.924,14.6046
90.925,14.5983
91.925,14.5911
92.924,14.5846
93.925,14.5778
94.924,14.5709
95.924,14.564
96.924,14.5583
97.925,14.5509
98.924,14.545
99.925,14.5376
100.925,14.5312
101.924,14.5247
102.925,14.5181
103.924,14.5113
104.924,14.5057
105.925,14.4972
106.924,14.4917
107.924,14.4848
108.925,14.4779
109.925,14.4712
110.924,14.4659
111.924,14.4593
112.925,14.4524
113.925,14.4454
114.924,14.4395
115.925,14.433
116.925,14.4254
117.924,14.4186
118.925,14.4114
119.924,14.4063
120.924,14.399
121.925,14.393
122.924,14.3841
123.925,14.378
124.924,14.3709
125.924,14.3641
126.925,14.3589
127.925,14.3513
128.925,14.3434
129.924,14.3372
130.925,14.3316
131.924,14.3235
