t (s),V (mV)
0,12.8738
0.974,12.8469
1.911,12.8225
2.85,12.7999
3.828,12.7746
4.829,12.7467
5.829,12.7191
6.829,12.6916
7.828,12.6648
8.829,12.6363
9.828,12.6085
10.829,12.5798
11.829,12.5524
12.829,12.5252
13.829,12.4972
14.828,12.4693
15.828,12.4414
16.828,12.4139
17.828,12.3874
18.828,12.3598
19.828,12.3316
20.828,12.3042
21.828,12.2769
22.828,12.2501
23.828,12.2219
24.829,12.1955
25.828,12.1686
26.828,12.1408
27.829,12.1143
28.829,12.0882
29.828,12.063
30.829,12.0352
31.828,12.0099
32.829,11.982
33.828,11.9552
34.829,11.9291
35.829,11.9038
36.829,11.8773
37.828,11.8503
38.828,11.825
39.828,11.8
40.828,11.7729
41.828,11.7472
42.828,11.7221
43.828,11.6954
44.829,11.67
45.829,11.645
46.829,11.6186
47.829,11.5931
48.828,11.568
49.828,11.5435
50.828,11.5183
51.829,11.4926
52.829,11.467
53.828,11.4429
54.828,11.416
55.829,11.3904
56.828,11.3652
57.829,11.3403
58.828,11.3163
59.829,11.2921
60.828,11.2673
61.828,11.2426
62.828,11.2191
63.829,11.1937
64.829,11.1688
65.828,11.1448
66.829,11.1204
67.828,11.0966
68.828,11.0723
69.829,11.0481
70.828,11.0236
71.829,11.0002
72.829,10.9754
73.829,10.9519
74.828,10.927
75.829,10.9033
76.829,10.8791
77.829,10.8551
78.829,10.8322
79.829,10.8083
80.829,10.7851
81.829,10.7605
82.829,10.7373
83.828,10.7146
84.828,10.691
85.828,10.6666
86.828,10.6441
87.828,10.6205
88.828,10.5984
89.828,10.575
90.828,10.553
91.828,10.5306
92.828,10.5072
93.828,10.4843
94.827,10.4624
95.827,10.439
96.827,10.4173
97.828,10.395
98.828,10.3726
99.828,10.3502
100.827,10.3276
101.828,10.3056
102.828,10.2846
103.827,10.2613
104.828,10.2398
105.828,10.2184
106.827,10.1951
107.828,10.1738
108.827,10.1518
109.827,10.1288
110.828,10.1078
111.827,10.0857
112.828,10.0644
113.827,10.042
114.828,10.0197
115.829,9.9991
116.829,9.9768
117.828,9.9568
118.829,9.934
119.829,9.9125
120.829,9.8905
121.829,9.8692
122.829,9.8487
123.828,9.8257
124.829,9.8047
125.829,9.7827
126.829,9.7612
127.829,9.7397
128.828,9.7197
129.829,9.6987
130.828,9.6776
131.829,9.6559
132.829,9.6351
133.828,9.6152
134.829,9.5934
135.828,9.5728
136.829,9.5512
137.828,9.53
138.829,9.5098
139.828,9.489
140.828,9.4693
141.828,9.4488
142.829,9.4291
143.829,9.4089
144.828,9.3886
145.829,9.3694
146.828,9.3498
147.829,9.3307
148.829,9.3108
149.829,9.2916
150.828,9.2716
151.829,9.2516
152.829,9.2314
153.828,9.2113
154.828,9.1926
155.829,9.1735
156.829,9.1539
157.829,9.1345
158.829,9.1154
159.829,9.0956
160.829,9.0768
161.828,9.0569
162.829,9.0385
163.828,9.0193
164.829,9.0001
165.829,8.9812
166.829,8.9616
167.828,8.9428
168.829,8.9239
169.829,8.9044
170.829,8.8856
171.829,8.8672
172.828,8.8483
173.829,8.8284
174.828,8.8099
175.829,8.7911
176.829,8.7722
177.829,8.7533
178.828,8.7346
179.829,8.716
180.829,8.698
181.828,8.6797
182.828,8.6603
183.829,8.6438
184.829,8.6244
185.828,8.6045
186.828,8.5868
187.829,8.5683
188.829,8.5496
189.829,8.5311
190.829,8.5136
191.828,8.4951
192.828,8.4763
193.828,8.4588
194.829,8.4401
195.829,8.4228
196.829,8.4039
197.829,8.3862
198.829,8.3689
199.829,8.3509
200.828,8.3332
201.829,8.3151
202.828,8.299
203.829,8.2806
204.829,8.2646
205.828,8.2468
206.828,8.2314
207.829,8.214
208.829,8.1954
209.829,8.1788
210.829,8.1626
211.828,8.145
212.829,8.128
213.829,8.1119
214.828,8.095
215.829,8.0778
216.829,8.0617
217.828,8.0446
218.829,8.027
219.829,8.0094
220.828,7.9935
221.829,7.9754
222.829,7.9589
223.829,7.9416
224.828,7.925
225.829,7.9075
226.828,7.8903
227.829,7.8737
228.828,7.8566
229.829,7.8401
230.828,7.8236
231.829,7.807
232.829,7.7902
233.828,7.773
234.829,7.757
235.828,7.7409
236.829,7.7246
237.829,7.7088
238.828,7.6921
239.829,7.6778
240.829,7.6613
241.828,7.6459
242.829,7.63
243.829,7.6143
244.828,7.5993
245.829,7.5838
246.828,7.5677
247.829,7.5521
248.828,7.5367
249.829,7.5207
250.828,7.5061
251.828,7.4905
252.829,7.4748
253.828,7.4587
254.829,7.4444
255.829,7.4285
256.828,7.4134
257.829,7.3982
258.829,7.3831
259.829,7.3683
260.828,7.353
261.829,7.3378
262.828,7.3226
263.829,7.3063
264.829,7.2913
265.828,7.277
266.829,7.2595
267.828,7.2459
268.829,7.2294
269.829,7.2148
270.828,7.1998
271.829,7.184
272.829,7.1689
273.828,7.1545
